 No. , date , time , model , code , Barcode ,Total Rank  ,Upper amount (g), angle (deg), rank ,Lower amount (g), angle (deg), rank ,UP+LO amount (g), rank ,Static amount (g), angle (deg), rank ,Couple amount (g), angle (deg), rank ,LRO-T OA amount (mm), angle (deg), rank ,LRO-B OA amount (mm), angle (deg), rank ,RRO1 OA amount (mm), angle (deg), rank ,RRO2 OA amount (mm), angle (deg), rank ,RRO3 OA amount (mm), angle (deg), rank ,LRO-T 1st amount (mm), angle (deg), rank ,LRO-B 1st amount (mm), angle (deg), rank ,RRO1 1st amount (mm), angle (deg), rank ,RRO2 1st amount (mm), angle (deg), rank ,RRO3 1st amount (mm), angle (deg), rank ,LRO-T 2nd amount (mm), angle (deg), rank ,LRO-B 2nd amount (mm), angle (deg), rank ,RRO1 2nd amount (mm), angle (deg), rank ,RRO2 2nd amount (mm), angle (deg), rank ,RRO3 2nd amount (mm), angle (deg), rank ,LRO-T Nth amount (mm), angle (deg), rank ,LRO-B Nth amount (mm), angle (deg), rank ,RRO1 Nth amount (mm), angle (deg), rank ,RRO2 Nth amount (mm), angle (deg), rank ,RRO3 Nth amount (mm), angle (deg), rank ,LRO-T Bulge amount (mm), angle (deg), rank ,LRO-B Bulge amount (mm), angle (deg), rank ,LRO-T Dent amount (mm), angle (deg), rank ,LRO-B Dent amount (mm), angle (deg), rank ,Circuly value (mm), rank ,OuterDiameter1 value (mm), rank ,OuterDiameter2 value (mm), rank ,OuterDiameter3 value (mm), rank ,RO TOTAL  ,Meas.Pressure value (Kg/f),Weight value (Kg), rank ,Width value (mm), rank 
394320,2023/11/23,00:09:50,15,175/70R13           ,175436,A,11.291,12.5,A,10.85,19.6,A,22.14,A,22.098,16,A,1.434,303.9,A,0.868,41.4,A,0.73,169.4,A,0,0,A,0.539,88.5,A,0,0,A,0.419,348,A,0.429,189.7,A,0,0,A,0.208,33.9,A,0,0,A,0.364,110,A,0.11,327.8,A,0,0,A,0.077,166.8,A,0,0,A,0.105,110,A,0.083,327.8,A,0,0,A,0.074,167.2,A,0,0,A,0.352,42.5,A,0.322,96,A,0.45,52.9,A,0.492,89.6,A,0.222,A,0,A,597.39,A,0,A,A,0,0,OK,0,A
394321,2023/11/23,00:10:18,15,175/70R13           ,175281,A,36.304,285.9,A,44.403,316.4,A,80.707,A,77.893,302.7,A,22.627,190.9,A,0.928,202.7,A,0.758,195.8,A,0,0,A,0.539,285.6,A,0,0,A,0.503,170,A,0.339,247.9,A,0,0,A,0.079,269.3,A,0,0,A,0.221,91.2,A,0.166,347.2,A,0,0,A,0.154,215.6,A,0,0,A,0.111,91.2,A,0.04,347.2,A,0,0,A,0.025,216.5,A,0,0,A,0.268,227.6,A,0.48,90.6,A,0.581,95.3,A,0.544,95.2,A,0.34,A,0,A,597.23,A,0,A,A,0,0,OK,0,A
394322,2023/11/23,00:10:46,15,175/70R13           ,174914,A,24.101,318.8,A,29.135,335.8,A,53.236,A,52.654,328.1,A,9.322,205.1,A,1.03,227.1,A,0.867,349.7,A,0,0,A,0.597,105.1,A,0,0,A,0.53,238.7,A,0.092,326.3,A,0,0,A,0.218,106.1,A,0,0,A,0.176,1.1,A,0.429,357.4,A,0,0,A,0.165,214.7,A,0,0,A,0.058,1.1,A,0.085,357.4,A,0,0,A,0.075,214.5,A,0,0,A,0.42,0.6,A,0.55,358.7,A,0.505,11,A,0.48,4.3,A,0.288,A,0,A,597.27,A,0,A,A,0,0,OK,0,A
394323,2023/11/23,00:11:15,15,175/70R13           ,174910,A,2.985,61,A,11.256,301.6,A,14.241,A,10.129,316.4,A,12.985,110,A,1.255,318.3,A,0.933,341,A,0,0,A,0.36,252,A,0,0,A,0.772,295.4,A,0.499,270,A,0,0,A,0.083,78.3,A,0,0,A,0.366,243.9,A,0.356,350,A,0,0,A,0.059,50.4,A,0,0,A,0.031,243.9,A,0.1,350,A,0,0,A,0.044,60.7,A,0,0,A,0.511,10.5,A,0.439,109.9,A,0.54,112.9,A,0.661,102.4,A,0.218,A,0,A,597.261,A,0,A,A,0,0,OK,0,A
394324,2023/11/23,00:11:44,15,175/70R13           ,175432,A,30.2,330.4,A,11.512,334,A,41.711,A,41.695,331.4,A,18.723,328.3,A,1.227,310,A,0.753,152.1,A,0,0,A,0.492,288.2,A,0,0,A,0.771,290,A,0.542,131.7,A,0,0,A,0.09,178.2,A,0,0,A,0.161,328.7,A,0.199,56.1,A,0,0,A,0.18,245.9,A,0,0,A,0.065,328.7,A,0.08,56.1,A,0,0,A,0.075,245.6,A,0,0,A,0.407,226.6,A,0.442,227.3,A,0.441,204.1,A,0.635,222.2,A,0.389,A,0,A,597.215,A,0,A,A,0,0,OK,0,A
394325,2023/11/23,00:12:12,15,175/70R13           ,175463,A,5.432,213.9,A,12.572,307.3,A,18.004,A,13.393,283.5,A,13.991,150.1,A,0.907,101.3,A,0.7,73.4,A,0,0,A,0.7,208.1,A,0,0,A,0.425,169.3,A,0.303,196.1,A,0,0,A,0.309,175.1,A,0,0,A,0.506,161.2,A,0.081,202.5,A,0,0,A,0.27,201.4,A,0,0,A,0.041,161.2,A,0.095,202.5,A,0,0,A,0.081,201.3,A,0,0,A,0.52,66.5,A,0.664,66.5,A,0.363,52.6,A,0.615,59.3,A,0.371,A,0,A,597.388,A,0,A,A,0,0,OK,0,A
394326,2023/11/23,00:13:25,15,175/70R13           ,175352,A,33.119,29.6,A,17.614,333,A,50.733,A,45.269,10.7,A,27.658,61.8,A,1.113,349.2,A,0.901,212.2,A,0,0,A,0.606,346.4,A,0,0,A,0.805,337.9,A,0.49,226.3,A,0,0,A,0.376,329.1,A,0,0,A,0.182,357.2,A,0.077,326.6,A,0,0,A,0.071,62.2,A,0,0,A,0.037,357.2,A,0.039,326.6,A,0,0,A,0.043,61.2,A,0,0,A,0.381,319,A,0.363,358.2,A,0.458,309.6,A,0.346,202.2,A,0.241,A,0,A,597.393,A,0,A,A,0,0,OK,0,A
394327,2023/11/23,00:13:56,15,175/70R13           ,884389,A,30.989,264.5,A,0.858,205.7,A,31.847,A,31.442,263.1,A,30.554,265.8,A,0.516,114.7,A,0.766,260.7,A,0,0,A,0.554,185.6,A,0,0,A,0.271,166.1,A,0.294,217.2,A,0,0,A,0.215,182,A,0,0,A,0.153,218.6,A,0.343,118.7,A,0,0,A,0.21,335.1,A,0,0,A,0.027,218.6,A,0.052,118.7,A,0,0,A,0.019,335.1,A,0,0,A,0.817,292.7,A,0.339,300.3,A,0.317,225,A,0.562,290.8,A,0.295,A,0,A,597.472,A,0,A,A,0,0,OK,0,A
394328,2023/11/23,00:14:24,15,175/70R13           ,174920,A,1.511,268.9,A,11.576,83.1,A,13.087,A,10.074,82.3,A,13.081,263.8,A,0.766,321.9,A,0.476,114.1,A,0,0,A,0.483,349.3,A,0,0,A,0.293,287,A,0.209,157.3,A,0,0,A,0.133,17.3,A,0,0,A,0.276,270.2,A,0.164,336.1,A,0,0,A,0.094,287.7,A,0,0,A,0.005,270.2,A,0.041,336.1,A,0,0,A,0.075,287.7,A,0,0,A,0.263,5.4,A,0.585,103.9,A,0.457,134.4,A,0.733,96.5,A,0.256,A,0,A,597.107,A,0,A,A,0,0,OK,0,A
394329,2023/11/23,00:14:53,15,175/70R13           ,174913,A,13.928,230.8,A,16.881,324.2,A,30.809,A,21.25,283.3,A,22.502,182.3,A,0.838,112.8,A,1.095,225.5,A,0,0,A,0.629,243.9,A,0,0,A,0.333,99.7,A,0.738,215.4,A,0,0,A,0.225,208.7,A,0,0,A,0.288,244.3,A,0.188,45.2,A,0,0,A,0.088,232.5,A,0,0,A,0.104,244.3,A,0.078,45.2,A,0,0,A,0.062,236.1,A,0,0,A,0.47,101.1,A,0.814,0,A,0.409,95.9,A,0.812,96.1,A,0.288,A,0,A,597.104,A,0,A,A,0,0,OK,0,A
394330,2023/11/23,00:15:22,15,175/70R13           ,175450,A,33.724,272.4,A,24.465,276.5,A,58.189,A,58.153,274.1,A,9.481,261.8,A,0.859,60.6,A,0.983,235.5,A,0,0,A,0.259,311.7,A,0,0,A,0.636,86.8,A,0.439,273.5,A,0,0,A,0.124,345.3,A,0,0,A,0.1,2.2,A,0.364,24,A,0,0,A,0.04,118.8,A,0,0,A,0.085,2.2,A,0.117,24,A,0,0,A,0.039,118.8,A,0,0,A,0.265,57.7,A,0.544,322.8,A,0.283,305.1,A,0.442,327.3,A,0.143,A,0,A,597.227,A,0,A,A,0,0,OK,0,A
394331,2023/11/23,00:15:51,15,175/70R13           ,175036,A,8.171,116.3,A,8.337,86.7,A,16.508,A,15.961,101.3,A,4.215,193.7,A,1.22,311.5,A,1.05,134.8,A,0,0,A,0.589,79,A,0,0,A,0.962,306.4,A,0.77,122.5,A,0,0,A,0.366,101.7,A,0,0,A,0.227,153.4,A,0.248,5.7,A,0,0,A,0.107,135.4,A,0,0,A,0.07,153.4,A,0.057,5.7,A,0,0,A,0.024,135.4,A,0,0,A,0.253,11.1,A,0.208,9.8,A,0.326,157.9,A,0.462,4.8,A,0.225,A,0,A,597.207,A,0,A,A,0,0,OK,0,A
394332,2023/11/23,00:16:20,15,175/70R13           ,175359,A,27.384,27.9,A,26.538,19,A,53.922,A,53.76,23.5,A,4.267,102,A,0.599,256.1,A,0.691,6.5,A,0,0,A,0.598,7.6,A,0,0,A,0.26,296.6,A,0.095,83.7,A,0,0,A,0.322,35.2,A,0,0,A,0.187,150.3,A,0.218,47.1,A,0,0,A,0.084,270.4,A,0,0,A,0.064,150.3,A,0.084,47.1,A,0,0,A,0.064,270.4,A,0,0,A,0.302,63.1,A,0.407,81.2,A,0.479,89.9,A,0.647,89.7,A,0.261,A,0,A,597.049,A,0,A,A,0,0,OK,0,A
394333,2023/11/23,00:16:49,15,175/70R13           ,174912,A,14.702,160.7,A,10.442,271.7,A,25.144,A,14.671,202.4,A,20.859,132.8,A,0.557,316.4,A,0.83,263.5,A,0,0,A,0.431,245.7,A,0,0,A,0.183,335.5,A,0.569,246.4,A,0,0,A,0.158,26.7,A,0,0,A,0.252,292.4,A,0.087,77.4,A,0,0,A,0.075,156.9,A,0,0,A,0.102,292.4,A,0.037,77.4,A,0,0,A,0.046,158.2,A,0,0,A,0.472,4,A,0.354,91.3,A,0.392,8,A,0.507,99.1,A,0.239,A,0,A,597.094,A,0,A,A,0,0,OK,0,A
394334,2023/11/23,00:17:17,15,175/70R13           ,175279,A,16.939,310.9,A,18.484,327.9,A,35.423,A,35.034,319.7,A,5.459,213.1,A,0.838,61.3,A,0.695,168.5,A,0,0,A,0.258,105.3,A,0,0,A,0.454,9.1,A,0.346,260.2,A,0,0,A,0.048,352.6,A,0,0,A,0.301,160.1,A,0.125,319.7,A,0,0,A,0.062,159.6,A,0,0,A,0.053,160.1,A,0.051,319.7,A,0,0,A,0.005,159.6,A,0,0,A,0.31,155.5,A,0.251,334.6,A,0.453,92.8,A,0.559,92.3,A,0.137,A,0,A,597.057,A,0,A,A,0,0,OK,0,A
394335,2023/11/23,00:17:46,15,175/70R13           ,175276,A,38.846,0.9,A,10.151,284.3,A,48.997,A,42.375,347.4,A,37.795,16,A,0.891,229,A,1.317,153.4,A,0,0,A,0.282,105.7,A,0,0,A,0.431,288.4,A,0.248,241.3,A,0,0,A,0.099,126.5,A,0,0,A,0.234,18.2,A,0.365,357.4,A,0,0,A,0.09,144.4,A,0,0,A,0.087,18.2,A,0.117,357.4,A,0,0,A,0.063,144.4,A,0,0,A,0.443,1.3,A,0.307,127.7,A,0.397,165.2,A,0.968,95,A,0.209,A,0,A,597.305,A,0,A,A,0,0,OK,0,A
