1685,20-Sep-22,Tuesday,19,O31406465,O,3,1,4,0,6,4,6,5,
1684,19-Sep-22,Monday,19,U23365867,U,2,3,3,6,5,8,6,7,
1683,18-Sep-22,Sunday,19,O05172445,O,0,5,1,7,2,4,4,5,
1682,17-Sep-22,Saturday,19,O49526366,O,4,9,5,2,6,3,6,6,
1681,16-Sep-22,Friday,19,U05313355,U,0,5,3,1,3,3,5,5,
1680,15-Sep-22,Thursday,19,R16646568,R,1,6,6,4,6,5,6,8,
1679,14-Sep-22,Wednesday,20,P44456876,P,4,4,4,5,6,8,7,6,
1678,13-Sep-22,Tuesday,20,V36456072,V,3,6,4,5,6,0,7,2,
1677,12-Sep-22,Monday,20,L08141960,L,0,8,1,4,1,9,6,0,
1676,11-Sep-22,Sunday,20,N16586472,N,1,6,5,8,6,4,7,2,
1675,10-Sep-22,Saturday,20,Q07173656,Q,0,7,1,7,3,6,5,6,
1674,9-Sep-22,Friday,20,I12202645,I,1,2,2,0,2,6,4,5,
1673,8-Sep-22,Thursday,20,K19295271,K,1,9,2,9,5,2,7,1,
1672,7-Sep-22,Wednesday,20,O13425568,O,1,3,4,2,5,5,6,8,
1671,6-Sep-22,Tuesday,20,F23295574,F,2,3,2,9,5,5,7,4,
1670,5-Sep-22,Monday,20,O04627477,O,0,4,6,2,7,4,7,7,
1669,4-Sep-22,Sunday,20,B22232557,B,2,2,2,3,2,5,5,7,
1668,3-Sep-22,Saturday,20,A51697577,A,5,1,6,9,7,5,7,7,
1667,2-Sep-22,Friday,21,S14434951,S,1,4,4,3,4,9,5,1,
1666,1-Sep-22,Thursday,21,C24484970,C,2,4,4,8,4,9,7,0,
1665,31-Aug-22,Wednesday,21,Q01256067,Q,0,1,2,5,6,0,6,7,
1664,30-Aug-22,Tuesday,21,J26315071,J,2,6,3,1,5,0,7,1,
1663,29-Aug-22,Monday,21,K08194560,K,0,8,1,9,4,5,6,0,
1662,28-Aug-22,Sunday,21,E25275659,E,2,5,2,7,5,6,5,9,
1661,27-Aug-22,Saturday,21,C16555968,C,1,6,5,5,5,9,6,8,
1660,26-Aug-22,Friday,21,Q05375261,Q,0,5,3,7,5,2,6,1,
1659,25-Aug-22,Thursday,21,O02265073,O,0,2,2,6,5,0,7,3,
1658,24-Aug-22,Wednesday,21,I23546070,I,2,3,5,4,6,0,7,0,
1657,23-Aug-22,Tuesday,21,B07315169,B,0,7,3,1,5,1,6,9,
1656,22-Aug-22,Monday,21,J14333950,J,1,4,3,3,3,9,5,0,
1655,21-Aug-22,Sunday,22,B18355072,B,1,8,3,5,5,0,7,2,
1654,20-Aug-22,Saturday,22,V32425870,V,3,2,4,2,5,8,7,0,
1653,19-Aug-22,Friday,22,X28486365,X,2,8,4,8,6,3,6,5,
1652,18-Aug-22,Thursday,22,A04152427,A,0,4,1,5,2,4,2,7,
1651,17-Aug-22,Wednesday,22,Z01222651,Z,0,1,2,2,2,6,5,1,
1650,16-Aug-22,Tuesday,22,A44465061,A,4,4,4,6,5,0,6,1,
1649,15-Aug-22,Monday,22,H06107275,H,0,6,1,0,7,2,7,5,
1648,14-Aug-22,Sunday,22,L09313848,L,0,9,3,1,3,8,4,8,
1647,13-Aug-22,Saturday,22,H22274554,H,2,2,2,7,4,5,5,4,
1646,12-Aug-22,Friday,22,E03133744,E,0,3,1,3,3,7,4,4,
1645,11-Aug-22,Thursday,22,J15457074,J,1,5,4,5,7,0,7,4,
1644,10-Aug-22,Wednesday,22,Q07092263,Q,0,7,0,9,2,2,6,3,
1643,9-Aug-22,Tuesday,23,M14203160,M,1,4,2,0,3,1,6,0,
1642,8-Aug-22,Monday,23,R14272850,R,1,4,2,7,2,8,5,0,
1641,7-Aug-22,Sunday,23,H18474876,H,1,8,4,7,4,8,7,6,
1640,6-Aug-22,Saturday,23,V08175769,V,0,8,1,7,5,7,6,9,
1639,5-Aug-22,Friday,23,D29385564,D,2,9,3,8,5,5,6,4,
1638,4-Aug-22,Thursday,23,A05384243,A,0,5,3,8,4,2,4,3,
1637,3-Aug-22,Wednesday,23,L11282957,L,1,1,2,8,2,9,5,7,
1636,2-Aug-22,Tuesday,23,M20222736,M,2,0,2,2,2,7,3,6,
1635,1-Aug-22,Monday,23,P06132126,P,0,6,1,3,2,1,2,6,
1634,31-Jul-22,Sunday,23,B34617576,B,3,4,6,1,7,5,7,6,
1633,30-Jul-22,Saturday,23,G36385360,G,3,6,3,8,5,3,6,0,
1632,29-Jul-22,Friday,23,I18215665,I,1,8,2,1,5,6,6,5,
1631,28-Jul-22,Thursday,24,N11384046,N,1,1,3,8,4,0,4,6,
1630,27-Jul-22,Wednesday,24,Y15517577,Y,1,5,5,1,7,5,7,7,
1629,26-Jul-22,Tuesday,24,I26274067,I,2,6,2,7,4,0,6,7,
1628,25-Jul-22,Monday,24,S19214144,S,1,9,2,1,4,1,4,4,
1627,24-Jul-22,Sunday,24,Z05164877,Z,0,5,1,6,4,8,7,7,
1626,23-Jul-22,Saturday,24,Q02096476,Q,0,2,0,9,6,4,7,6,
1625,22-Jul-22,Friday,24,H17435471,H,1,7,4,3,5,4,7,1,
1624,21-Jul-22,Thursday,24,H09197376,H,0,9,1,9,7,3,7,6,
1623,20-Jul-22,Wednesday,24,R05266369,R,0,5,2,6,6,3,6,9,
1622,19-Jul-22,Tuesday,24,V08445665,V,0,8,4,4,5,6,6,5,
1621,18-Jul-22,Monday,24,V02434458,V,0,2,4,3,4,4,5,8,
1620,17-Jul-22,Sunday,24,W03132167,W,0,3,1,3,2,1,6,7,
1619,16-Jul-22,Saturday,25,G22546065,G,2,2,5,4,6,0,6,5,
1618,15-Jul-22,Friday,25,G22546065,G,2,2,5,4,6,0,6,5,
1617,14-Jul-22,Thursday,25,K01202458,K,0,1,2,0,2,4,5,8,
1616,13-Jul-22,Wednesday,25,K01202458,K,0,1,2,0,2,4,5,8,
1615,12-Jul-22,Tuesday,25,F03193964,F,0,3,1,9,3,9,6,4,
1614,11-Jul-22,Monday,25,P04373873,P,0,4,3,7,3,8,7,3,
1613,10-Jul-22,Sunday,25,P04373873,P,0,4,3,7,3,8,7,3,
1612,9-Jul-22,Saturday,25,P04373873,P,0,4,3,7,3,8,7,3,
1611,8-Jul-22,Friday,25,S16556976,S,1,6,5,5,6,9,7,6,
1610,7-Jul-22,Thursday,25,P04182951,P,0,4,1,8,2,9,5,1,
1609,6-Jul-22,Wednesday,25,P37475866,P,3,7,4,7,5,8,6,6,
1608,5-Jul-22,Tuesday,25,Q34476670,Q,3,4,4,7,6,6,7,0,
1607,4-Jul-22,Monday,26,A27374074,A,2,7,3,7,4,0,7,4,
1606,3-Jul-22,Sunday,26,F09353676,F,0,9,3,5,3,6,7,6,
1605,2-Jul-22,Saturday,26,O03091122,O,0,3,0,9,1,1,2,2,
1604,1-Jul-22,Friday,26,X06133662,X,0,6,1,3,3,6,6,2,
1603,30-Jun-22,Thursday,26,D11203155,D,1,1,2,0,3,1,5,5,
1602,29-Jun-22,Wednesday,26,R01192834,R,0,1,1,9,2,8,3,4,
1601,28-Jun-22,Tuesday,26,J18283458,J,1,8,2,8,3,4,5,8,
1600,27-Jun-22,Monday,26,U11143751,U,1,1,1,4,3,7,5,1,
1599,26-Jun-22,Sunday,26,F09245475,F,0,9,2,4,5,4,7,5,
1598,25-Jun-22,Saturday,26,I17354066,I,1,7,3,5,4,0,6,6,
1597,24-Jun-22,Friday,26,H44637076,H,4,4,6,3,7,0,7,6,
1596,23-Jun-22,Thursday,26,I30415369,I,3,0,4,1,5,3,6,9,
1595,22-Jun-22,Wednesday,27,B02416772,B,0,2,4,1,6,7,7,2,
1594,21-Jun-22,Tuesday,27,P06606265,P,0,6,6,0,6,2,6,5,
1593,20-Jun-22,Monday,27,I26294976,I,2,6,2,9,4,9,7,6,
1592,19-Jun-22,Sunday,27,K13404568,K,1,3,4,0,4,5,6,8,
1591,18-Jun-22,Saturday,27,Z17233164,Z,1,7,2,3,3,1,6,4,
1590,17-Jun-22,Friday,27,J13265977,J,1,3,2,6,5,9,7,7,
1589,16-Jun-22,Thursday,27,M12207576,M,1,2,2,0,7,5,7,6,
1588,15-Jun-22,Wednesday,27,I30465576,I,3,0,4,6,5,5,7,6,
1587,14-Jun-22,Tuesday,27,X37585971,X,3,7,5,8,5,9,7,1,
1586,13-Jun-22,Monday,27,E09224254,E,0,9,2,2,4,2,5,4,
1585,12-Jun-22,Sunday,27,V14236670,V,1,4,2,3,6,6,7,0,
1584,11-Jun-22,Saturday,27,L32466164,L,3,2,4,6,6,1,6,4,
1583,10-Jun-22,Friday,28,A12206072,A,1,2,2,0,6,0,7,2,
1582,9-Jun-22,Thursday,28,X01364973,X,0,1,3,6,4,9,7,3,
1581,8-Jun-22,Wednesday,28,O16355676,O,1,6,3,5,5,6,7,6,
1580,7-Jun-22,Tuesday,28,Z04092236,Z,0,4,0,9,2,2,3,6,
1579,6-Jun-22,Monday,28,Z09607072,Z,0,9,6,0,7,0,7,2,
1578,5-Jun-22,Sunday,28,U05105863,U,0,5,1,0,5,8,6,3,
1577,4-Jun-22,Saturday,28,Z29303940,Z,2,9,3,0,3,9,4,0,
1576,3-Jun-22,Friday,28,T05161770,T,0,5,1,6,1,7,7,0,
